episode,score,avg_100,best_score,epsilon,avg_loss,buffer_size,elapsed_s
164,0,0.13,1,0.921253,0.166793,2501,21.2
165,0,0.12,1,0.920792,0.13318,2521,21.5
166,0,0.12,1,0.920332,0.129886,2539,21.8
167,0,0.12,1,0.919872,0.13555,2556,21.9
168,0,0.11,1,0.919412,0.11895,2570,22.1
169,0,0.11,1,0.918952,0.159092,2599,22.5
170,0,0.11,1,0.918493,0.127231,2617,22.7
171,0,0.11,1,0.918034,0.101727,2625,22.8
172,0,0.1,1,0.917574,0.154955,2631,22.9
173,0,0.1,1,0.917116,0.096392,2639,23.0
174,0,0.1,1,0.916657,0.137373,2664,23.3
175,1,0.11,1,0.916199,0.111433,2687,23.7
176,0,0.11,1,0.915741,0.119531,2738,24.3
177,0,0.11,1,0.915283,0.142941,2749,24.4
178,0,0.11,1,0.914825,0.099281,2752,24.5
179,0,0.11,1,0.914368,0.125987,2764,24.7
180,0,0.11,1,0.913911,0.151923,2776,24.8
181,0,0.11,1,0.913454,0.146567,2780,24.9
182,0,0.11,1,0.912997,0.130713,2796,25.1
183,1,0.12,1,0.91254,0.132691,2804,25.2
184,0,0.12,1,0.912084,0.132392,2852,25.8
185,0,0.12,1,0.911628,0.171467,2861,25.9
186,0,0.12,1,0.911172,0.159247,2881,26.2
187,0,0.12,1,0.910717,0.120344,2896,26.4
188,0,0.12,1,0.910261,0.110791,2911,26.6
189,0,0.12,1,0.909806,0.128776,2928,26.8
190,0,0.12,1,0.909351,0.110765,2947,27.0
191,0,0.12,1,0.908897,0.108869,2960,27.2
192,0,0.12,1,0.908442,0.116938,2964,27.2
193,0,0.12,1,0.907988,0.121826,2981,27.4
194,1,0.13,1,0.907534,0.11311,2993,27.6
195,0,0.13,1,0.90708,0.223065,3010,27.8
196,0,0.12,1,0.906627,0.161332,3026,28.0
197,2,0.14,2,0.906173,0.192389,3040,28.2
198,0,0.13,2,0.90572,0.153096,3055,28.4
199,0,0.13,2,0.905267,0.19176,3071,28.6
200,0,0.13,2,0.904815,0.162821,3083,28.8
